PM2.5,PM2.5(D-1),PM2.5(D-3),PM2.5(D-7),PM2.5(D+1),PM2.5(D+3),PM2.5(D+7),Season_Summer,Season_Rainy,Season_Winter
12.0,13.0,12.0,9.0,13.0,10.0,10.0,0,1,0
13.0,12.0,13.0,13.0,14.0,12.0,13.0,0,1,0
14.0,13.0,13.0,12.0,10.0,9.0,14.0,0,1,0
10.0,14.0,12.0,9.0,12.0,13.0,12.0,0,1,0
12.0,10.0,13.0,12.0,9.0,10.0,7.0,0,1,0
9.0,12.0,14.0,13.0,13.0,13.0,13.0,0,1,0
13.0,9.0,10.0,13.0,10.0,14.0,7.0,0,1,0
10.0,13.0,12.0,12.0,13.0,12.0,12.0,0,1,0
13.0,10.0,9.0,13.0,14.0,7.0,11.0,0,1,0
14.0,13.0,13.0,14.0,12.0,13.0,16.0,0,1,0
12.0,14.0,10.0,10.0,7.0,7.0,19.134246575342463,0,1,0
7.0,12.0,13.0,12.0,13.0,12.0,11.0,0,1,0
13.0,7.0,14.0,9.0,7.0,11.0,12.0,0,1,0
7.0,13.0,12.0,13.0,12.0,16.0,11.0,0,1,0
12.0,7.0,7.0,10.0,11.0,19.134246575342463,4.0,0,1,0
11.0,12.0,13.0,13.0,16.0,11.0,6.0,0,1,0
16.0,11.0,7.0,14.0,19.134246575342463,12.0,9.0,0,1,0
19.134246575342463,16.0,12.0,12.0,11.0,11.0,9.0,0,1,0
11.0,19.134246575342463,11.0,7.0,12.0,4.0,6.0,0,1,0
12.0,11.0,16.0,13.0,11.0,6.0,5.0,0,1,0
11.0,12.0,19.134246575342463,7.0,4.0,9.0,5.0,0,1,0
4.0,11.0,11.0,12.0,6.0,9.0,4.0,0,1,0
6.0,4.0,12.0,11.0,9.0,6.0,6.0,0,1,0
9.0,6.0,11.0,16.0,9.0,5.0,7.0,0,1,0
9.0,9.0,4.0,19.134246575342463,6.0,5.0,10.0,0,1,0
6.0,9.0,6.0,11.0,5.0,4.0,12.0,0,1,0
5.0,6.0,9.0,12.0,5.0,6.0,8.0,0,1,0
5.0,5.0,9.0,11.0,4.0,7.0,5.0,0,1,0
4.0,5.0,6.0,4.0,6.0,10.0,7.0,0,1,0
6.0,4.0,5.0,6.0,7.0,12.0,6.0,0,1,0
7.0,6.0,5.0,9.0,10.0,8.0,5.0,0,1,0
10.0,7.0,4.0,9.0,12.0,5.0,7.0,0,1,0
12.0,10.0,6.0,6.0,8.0,7.0,10.0,0,1,0
8.0,12.0,7.0,5.0,5.0,6.0,11.0,0,1,0
5.0,8.0,10.0,5.0,7.0,5.0,10.0,0,1,0
7.0,5.0,12.0,4.0,6.0,7.0,12.0,0,1,0
6.0,7.0,8.0,6.0,5.0,10.0,15.0,0,1,0
5.0,6.0,5.0,7.0,7.0,11.0,12.0,0,1,0
7.0,5.0,7.0,10.0,10.0,10.0,18.0,0,1,0
10.0,7.0,6.0,12.0,11.0,12.0,13.0,0,1,0
11.0,10.0,5.0,8.0,10.0,15.0,9.0,0,1,0
10.0,11.0,7.0,5.0,12.0,12.0,9.0,0,1,0
12.0,10.0,10.0,7.0,15.0,18.0,12.0,0,1,0
15.0,12.0,11.0,6.0,12.0,13.0,11.0,0,1,0
12.0,15.0,10.0,5.0,18.0,9.0,10.0,0,1,0
18.0,12.0,12.0,7.0,13.0,9.0,8.0,0,1,0
13.0,18.0,15.0,10.0,9.0,12.0,12.0,0,1,0
9.0,13.0,12.0,11.0,9.0,11.0,12.0,0,1,0
9.0,9.0,18.0,10.0,12.0,10.0,14.0,0,1,0
12.0,9.0,13.0,12.0,11.0,8.0,8.0,0,1,0
11.0,12.0,9.0,15.0,10.0,12.0,8.0,0,1,0
10.0,11.0,9.0,12.0,8.0,12.0,13.0,0,1,0
8.0,10.0,12.0,18.0,12.0,14.0,10.0,0,1,0
12.0,8.0,11.0,13.0,12.0,8.0,12.0,0,1,0
12.0,12.0,10.0,9.0,14.0,8.0,9.0,0,1,0
14.0,12.0,8.0,9.0,8.0,13.0,5.0,0,1,0
